rank,company,employees,previousrank,revenues,revenuechange,profits,profitschange,assets,marketvalue
1,Walmart,"2,300,000",1,"$485,873.00 ",0.80%,"$13,643.00 ",-7.20%,"$198,825.00 ","$218,619.00 "
2,Berkshire Hathaway,"367,700",4,"$223,604.00 ",6.10%,"$24,074.00 ",0.00%,"$620,854.00 ","$411,035.00 "
3,Apple,"116,000",3,"$215,639.00 ",-7.70%,"$45,687.00 ",-14.40%,"$321,686.00 ","$753,718.00 "
4,Exxon Mobil,"72,700",2,"$205,004.00 ",-16.70%,"$7,840.00 ",-51.50%,"$330,314.00 ","$340,056.00 "
5,McKesson,"68,000",5,"$192,487.00 ",6.20%,"$2,258.00 ",53.00%,"$56,563.00 ","$31,439.00 "
6,UnitedHealth Group,"230,000",6,"$184,840.00 ",17.70%,"$7,017.00 ",20.70%,"$122,810.00 ","$157,793.00 "
7,CVS Health,"204,000",7,"$177,526.00 ",15.80%,"$5,317.00 ",1.50%,"$94,462.00 ","$81,310.00 "
8,General Motors,"225,000",8,"$166,380.00 ",9.20%,"$9,427.00 ",-2.70%,"$221,690.00 ","$52,968.00 "
9,AT&T,"268,540",10,"$163,786.00 ",11.60%,"$12,976.00 ",-2.80%,"$403,821.00 ","$255,679.00 "
10,Ford Motor,"201,000",9,"$151,800.00 ",1.50%,"$4,596.00 ",-37.70%,"$237,951.00 ","$46,349.00 "
11,AmerisourceBergen,"18,500",12,"$146,850.00 ",8.00%,"$1,427.90 ",-,"$33,656.00 ","$19,229.00 "
12,Amazon.com,"341,400",18,"$135,987.00 ",27.10%,"$2,371.00 ",297.80%,"$83,402.00 ","$423,031.00 "
13,General Electric,"295,000",11,"$126,661.00 ",-9.80%,"$8,831.00 ",-,"$365,183.00 ","$259,520.00 "
14,Verizon,"160,900",13,"$125,980.00 ",-4.30%,"$13,127.00 ",-26.60%,"$244,180.00 ","$198,900.00 "
15,Cardinal Health,"37,300",21,"$121,546.00 ",18.50%,"$1,427.00 ",17.40%,"$34,122.00 ","$25,725.00 "
16,Costco,"172,000",15,"$118,719.00 ",2.20%,"$2,350.00 ",-1.10%,"$33,163.00 ","$73,606.00 "
17,Walgreens Boots Alliance,"300,000",19,"$117,351.00 ",13.40%,"$4,173.00 ",-1.10%,"$72,688.00 ","$89,645.00 "
18,Kroger,"443,000",17,"$115,337.00 ",5.00%,"$1,975.00 ",-3.10%,"$36,505.00 ","$26,961.00 "
19,Chevron,"55,200",14,"$107,567.00 ",-18.00%,($497.00),-110.80%,"$260,078.00 ","$203,263.00 "
20,Fannie Mae,"7,000",16,"$107,162.00 ",-2.90%,"$12,313.00 ",12.40%,"$3,287,968.00 ","$3,011.00 "
21,J.P. Morgan Chase,"243,355",23,"$105,486.00 ",4.40%,"$24,733.00 ",1.20%,"$2,490,972.00 ","$313,761.00 "
22,Express Scripts Holding,"25,600",22,"$100,288.00 ",-1.40%,"$3,404.40 ",37.50%,"$51,745.00 ","$39,567.00 "
23,Home Depot,"406,000",28,"$94,595.00 ",6.90%,"$7,957.00 ",13.50%,"$42,966.00 ","$176,368.00 "
24,Boeing,"150,540",24,"$94,571.00 ",-1.60%,"$4,895.00 ",-5.40%,"$89,997.00 ","$107,546.00 "
25,Wells Fargo,"269,100",27,"$94,176.00 ",4.60%,"$21,938.00 ",-4.20%,"$1,930,115.00 ","$278,516.00 "
26,Bank of America Corp.,"208,024",26,"$93,662.00 ",0.70%,"$17,906.00 ",12.70%,"$2,187,702.00 ","$236,182.00 "
27,Alphabet,"72,053",36,"$90,272.00 ",20.40%,"$19,478.00 ",19.10%,"$167,497.00 ","$579,426.00 "
28,Microsoft,"114,000",25,"$85,320.00 ",-8.80%,"$16,798.00 ",37.80%,"$193,694.00 ","$508,935.00 "
29,Anthem,"53,000",33,"$84,863.00 ",7.20%,"$2,469.80 ",-3.50%,"$65,083.00 ","$43,813.00 "
30,Citigroup,"219,000",29,"$82,386.00 ",-6.70%,"$14,912.00 ",-13.50%,"$1,792,077.00 ","$165,394.00 "
31,Comcast,"159,000",37,"$80,403.00 ",7.90%,"$8,695.00 ",6.50%,"$180,500.00 ","$178,258.00 "
32,IBM,"414,400",31,"$79,919.00 ",-3.10%,"$11,872.00 ",-10.00%,"$117,470.00 ","$164,251.00 "
33,State Farm Insurance Cos.,"68,234",35,"$76,132.00 ",0.60%,$350.30 ,-94.40%,"$256,030.00 ",-
34,Phillips 66,"14,800",30,"$72,396.00 ",-16.90%,"$1,555.00 ",-63.20%,"$51,653.00 ","$40,954.00 "
35,Johnson & Johnson,"126,400",39,"$71,890.00 ",2.60%,"$16,540.00 ",7.30%,"$141,208.00 ","$337,642.00 "
36,Procter & Gamble,"105,000",34,"$71,726.00 ",-8.90%,"$10,508.00 ",49.30%,"$127,136.00 ","$229,700.00 "
37,Valero Energy,"9,996",32,"$70,166.00 ",-14.20%,"$2,289.00 ",-42.60%,"$46,173.00 ","$29,746.00 "
38,Target,"323,000",38,"$69,495.00 ",-5.80%,"$2,737.00 ",-18.60%,"$37,431.00 ","$30,502.00 "
39,Freddie Mac,"5,982",43,"$65,665.00 ",3.40%,"$7,815.00 ",22.60%,"$2,023,376.00 ","$1,612.00 "
40,Lowe,"240,000",47,"$65,017.00 ",10.10%,"$3,093.00 ",21.50%,"$34,408.00 ","$70,481.00 "
41,Dell Technologies,"138,000",,"$64,806.00 ",18.10%,"($1,672.00)",-,"$118,206.00 ",-
42,MetLife,"58,000",40,"$63,476.00 ",-9.30%,$800.00 ,-84.90%,"$898,764.00 ","$57,429.00 "
